N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,63,57,135,135,30
75,347,791,8325,8325,225
100,458,1063,14850,14850,300
1000,4620,14701,1498500,1498500,3000
5000,23516,83563,37492500,37492500,15000
7500,34766,125347,84363750,84363750,22500
10000,47040,167131,149985000,149985000,30000
20000,94088,374273,599970000,599970000,60000
50000,233184,935701,3749925000,3749925000,150000
75000,353876,1553563,8437387500,8437387500,225000
100000,466376,2071423,14999850000,14999850000,300000

