N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,25,26,45,20,45
75,510,371,2775,357,2775
100,738,540,4950,519,4950
1000,11482,9024,499500,8496,499500
5000,70668,55286,12497500,54405,12497500
7500,110629,90636,28121250,86060,28121250
10000,152306,120608,49995000,118833,49995000
20000,328715,261331,199990000,257647,199990000
50000,957517,710368,1249975000,711149,1249975000
75000,1412944,1130149,2812462500,1109722,2812462500
100000,1894825,1522663,4999950000,1521852,4999950000

