N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,0.0003,0.0003,0.0002,0.0002,0.0002
75,0.0015,0.0044,0.0023,0.0025,0.0031
100,0.0018,0.0024,0.0031,0.0036,0.0046
1000,0.0267,0.0289,0.2616,0.0551,0.2588
5000,0.1567,0.1727,5.6723,0.5729,5.8271
7500,0.2389,0.2772,12.6984,1.1445,12.9823
10000,0.3303,0.3802,22.7982,1.9012,22.9608
20000,0.7065,0.8071,91.6044,6.8261,91.4084
50000,1.9024,2.1956,583.098,42.0404,570.999
75000,2.9468,3.4686,1288.18,92.0782,1288.84
100000,4.1801,4.8548,2413.7,168.555,2314.36

