N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,0.0028,0.0006,0.0002,0.0001,0.0002
75,0.001,0.0013,0.0022,0.0004,0.0021
100,0.0008,0.0012,0.0034,0.0005,0.0034
1000,0.0071,0.0075,0.3842,0.0054,0.3534
5000,0.0248,0.0255,5.8792,0.0285,6.0441
7500,0.0392,0.0471,13.5387,0.0452,16.7276
10000,0.0667,0.071,24.0293,0.0631,25.4589
20000,0.1118,0.1218,93.6585,0.138,96.6683
50000,0.2911,0.2743,575.579,0.3768,568.593
75000,0.4463,0.4488,1461.59,0.6012,1269.03
100000,0.6204,0.5864,2300.69,0.8351,2316.05

