N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,0.0002,0.0004,0.0001,0.0003,0.0002
75,0.0008,0.0016,0.0023,0.0014,0.0026
100,0.0006,0.0012,0.0035,0.0019,0.0039
1000,0.0041,0.0083,0.2846,0.0448,0.29
5000,0.0254,0.0404,6.077,0.8054,5.2282
7500,0.0376,0.0912,14.8041,1.8224,14.7947
10000,0.039,0.1167,25.7856,2.9724,18.0959
20000,0.0805,0.1646,97.6485,12.3532,70.637
50000,0.2117,0.3991,612.814,80.8885,473.84
75000,0.3949,0.6143,1376.31,186.568,1055.93
100000,0.4479,0.8197,2418.41,334.635,1837.58

