N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,0.0003,0.0003,0.0003,0.0002,0.0003
75,0.0014,0.0053,0.0026,0.0018,0.0028
100,0.0018,0.0021,0.0041,0.0023,0.004
1000,0.0256,0.0268,0.4162,0.0429,0.4971
5000,0.1418,0.1157,7.3119,0.2665,6.3963
7500,0.208,0.1784,14.5956,0.4261,13.8195
10000,0.2854,0.2391,23.6004,0.6746,23.4406
20000,0.6215,0.4893,96.5739,2.1154,97.2906
50000,1.6659,1.2572,629.861,10.4902,585.892
75000,2.5833,1.9468,1461.99,22.7213,1306.1
100000,3.369,2.5881,2651.3,40.4286,2308.31

