N,tri_par_base_1,tri_par_base_16,tri_par_base_2,tri_par_base_4,tri_par_base_8,tri_rapide
10,0.006899,0.106985,0.0035597,0.0024607,0.0018979,0.283119
100,0.0201639,0.0802813,0.0098,0.0050912,0.0032482,2.77289
1000,0.150554,0.135765,0.0711206,0.0308607,0.0161188,26.0768
5000,0.609674,0.106627,0.318401,0.156698,0.0721323,121.705
10000,1.42675,0.135758,0.559983,0.295635,0.136366,224.664
50000,6.82865,0.480561,3.19677,2.0197,0.933892,1153.59
100000,13.1635,0.862097,6.42226,3.35572,1.85221,2543.81
200000,37.1425,1.91391,16.8291,11.4031,4.98432,4616.47
500000,73.7193,6.57913,36.0907,23.3486,14.109,12704.7
1000000,156.977,19.6106,77.96,54.3505,35.759,23831.4

